vm_id,job_id,task_index,start_time,end_time,total_end_time,duration,cpu_max,cpu_min,cpu_avg,cpu_std,cpu_p95,cpi,mai,mem_max,mem_min,mem_avg,mem_assigned,mem_page_cache,mem_canonical,priority,true_cluster,is_ml_set
vm_01876,1876,0,6.33,306.33,709.35,703.02,0.21029,0.09265,0.13467,0.04201,0.19349,1.609,0.025,0.01491,0.00691,0.00991,0.01641,0.00207,0.00952,104,3,True
vm_02067,2067,0,7.1,307.1,13410.83,13403.73,0.45073,0.11442,0.22652,0.11211,0.40589,1.0476,0.0102,0.01791,0.00591,0.00991,0.01881,0.00184,0.00971,234,2,True
vm_01315,1315,0,4.27,304.27,10327.7,10323.44,0.46987,0.08593,0.21391,0.12798,0.41868,1.11,0.0112,0.00931,0.0005,0.00131,0.00978,0.00223,0.00128,48,2,True
vm_01980,1980,0,6.74,306.74,334.68,327.94,0.09544,0.03282,0.05787,0.02087,0.08918,1.6219,0.0602,0.06129,0.02629,0.04129,0.06742,0.01284,0.03923,207,1,True
vm_01430,1430,0,4.73,304.73,1990.94,1986.21,0.49289,0.18651,0.28864,0.10213,0.45204,1.0906,0.0227,0.02024,0.00824,0.01224,0.02125,0.00175,0.012,69,2,True
vm_00112,112,0,0.37,300.37,4344.52,4344.15,0.1492,0.01568,0.06337,0.04769,0.13013,1.9875,0.0249,0.01782,0.00982,0.01282,0.0196,0.00437,0.0123,141,3,True
vm_02094,2094,0,7.19,307.19,6944.85,6937.66,0.08257,0.001,0.03024,0.02907,0.07385,1.9747,0.0376,0.06191,0.02691,0.04191,0.0681,0.00939,0.03981,169,1,True
vm_00421,421,0,1.32,301.32,797.22,795.9,0.08878,0.02667,0.05151,0.0207,0.08257,1.4288,0.0382,0.06583,0.03083,0.04583,0.07242,0.00439,0.04354,145,1,True
vm_00045,45,0,0.14,300.14,1931.17,1931.03,0.07949,0.002,0.01,0.03861,0.06405,1.5987,0.0357,0.01171,0.00371,0.00671,0.01288,0.00505,0.00644,160,3,True
vm_01778,1778,0,6.01,306.01,13017.03,13011.02,0.13762,0.00346,0.05138,0.04792,0.11846,1.0514,0.0367,0.01318,0.00518,0.00818,0.0145,0.00491,0.00785,6,3,True
