timestamp,job_id,task_index,vm_id,machine_id,event_type,priority,cpu_request,memory_request,true_cluster,is_ml_set
0,1,0,vm_00001,pm_0545,0,34,0.1358,0.0184,3,True
0,2,0,vm_00002,pm_0594,0,223,0.4981,0.0178,2,True
0,3,0,vm_00003,pm_0611,0,155,0.0597,0.0602,1,True
0,4,0,vm_00004,pm_0177,0,190,0.0371,0.0722,1,True
0,5,0,vm_00005,pm_0460,0,183,0.0956,0.0529,1,True
0,6,0,vm_00006,pm_0774,0,236,0.0625,0.0748,1,True
0,7,0,vm_00007,pm_0674,0,296,0.0615,0.0538,1,True
0,8,0,vm_00008,pm_0172,0,57,0.0902,0.0204,3,True
0,9,0,vm_00009,pm_0251,0,38,0.1671,0.011,3,True
0,10,0,vm_00010,pm_0075,0,240,0.0593,0.0562,1,True
0,11,0,vm_00011,pm_0560,0,24,0.0448,0.0467,1,True
0,12,0,vm_00012,pm_0345,0,116,0.0381,0.0645,1,True
0,13,0,vm_00013,pm_0391,0,239,0.1131,0.0106,3,True
0,14,0,vm_00014,pm_0608,0,174,0.1216,0.0158,3,True
0,15,0,vm_00015,pm_0594,0,227,0.1615,0.0117,3,True
0,16,0,vm_00016,pm_0141,0,252,0.1081,0.0149,3,True
0,17,0,vm_00017,pm_0561,0,110,0.0727,0.0159,3,True
0,18,0,vm_00018,pm_0354,0,240,0.6466,0.0127,2,True
0,19,0,vm_00019,pm_0701,0,223,0.0851,0.071,1,True
0,20,0,vm_00020,pm_0350,0,297,0.1505,0.0159,3,True
0,21,0,vm_00021,pm_0793,0,51,0.1904,0.0118,3,True
0,22,0,vm_00022,pm_0715,0,220,0.1217,0.0097,3,True
0,23,0,vm_00023,pm_0149,0,287,0.0816,0.0632,1,True
0,24,0,vm_00024,pm_0640,0,151,0.0921,0.0916,1,True
0,25,0,vm_00025,pm_0043,0,117,0.0921,0.0133,3,True
0,26,0,vm_00026,pm_0178,0,278,0.2406,0.0135,3,True
0,27,0,vm_00027,pm_0480,0,134,0.0356,0.053,1,True
0,28,0,vm_00028,pm_0392,0,208,0.0966,0.0137,3,True
0,29,0,vm_00029,pm_0713,0,126,0.1041,0.0102,3,True
0,30,0,vm_00030,pm_0184,0,292,0.1677,0.0128,3,True
0,31,0,vm_00031,pm_0161,0,6,0.0905,0.0172,3,True
0,32,0,vm_00032,pm_0358,0,221,0.1318,0.054,1,True
0,33,0,vm_00033,pm_0600,0,76,0.077,0.0505,1,True
0,34,0,vm_00034,pm_0405,0,277,0.0961,0.0141,3,True
0,35,0,vm_00035,pm_0432,0,226,0.0429,0.0634,1,True
0,36,0,vm_00036,pm_0256,0,274,0.2797,0.0177,2,True
0,37,0,vm_00037,pm_0791,0,294,0.3272,0.0156,2,True
0,38,0,vm_00038,pm_0448,0,116,0.1089,0.0078,3,True
0,39,0,vm_00039,pm_0692,0,291,0.0336,0.0659,1,True
0,40,0,vm_00040,pm_0367,0,270,0.0719,0.05,1,True
0,41,0,vm_00041,pm_0068,0,156,0.1339,0.0088,3,True
0,42,0,vm_00042,pm_0497,0,59,0.083,0.0609,1,True
0,43,0,vm_00043,pm_0510,0,183,0.0827,0.0567,1,True
0,44,0,vm_00044,pm_0652,0,143,0.0751,0.0571,1,True
0,45,0,vm_00045,pm_0034,0,160,0.0795,0.0117,3,True
0,46,0,vm_00046,pm_0275,0,88,0.125,0.0121,3,True
0,47,0,vm_00047,pm_0777,0,15,0.1145,0.0167,3,True
0,48,0,vm_00048,pm_0710,0,248,0.0957,0.0367,1,True
0,49,0,vm_00049,pm_0296,0,97,0.1997,0.0136,3,True
0,50,0,vm_00050,pm_0624,0,103,0.1065,0.0381,1,True
0,51,0,vm_00051,pm_0786,0,299,0.0378,0.0465,1,True
0,52,0,vm_00052,pm_0291,0,234,0.0314,0.0573,1,True
0,53,0,vm_00053,pm_0023,0,273,0.2124,0.0134,3,True
0,54,0,vm_00054,pm_0636,0,260,0.106,0.0653,1,True
0,55,0,vm_00055,pm_0425,0,238,0.0729,0.0637,1,True
0,56,0,vm_00056,pm_0648,0,261,0.199,0.0138,3,True
0,57,0,vm_00057,pm_0452,0,114,0.4191,0.0152,2,True
0,58,0,vm_00058,pm_0368,0,267,0.2042,0.0163,3,True
0,59,0,vm_00059,pm_0731,0,11,0.3418,0.0108,2,True
0,60,0,vm_00060,pm_0769,0,72,0.3804,0.0145,2,True
0,61,0,vm_00061,pm_0495,0,177,0.0771,0.0722,1,True
0,62,0,vm_00062,pm_0770,0,259,0.0822,0.0589,1,True
0,63,0,vm_00063,pm_0194,0,258,0.0398,0.0717,1,True
0,64,0,vm_00064,pm_0319,0,269,0.205,0.0098,3,True
0,65,0,vm_00065,pm_0337,0,119,0.1022,0.0165,3,True
0,66,0,vm_00066,pm_0398,0,168,0.7328,0.0174,2,True
0,67,0,vm_00067,pm_0286,0,67,0.1272,0.0092,3,True
0,68,0,vm_00068,pm_0058,0,58,0.0416,0.0541,1,True
0,69,0,vm_00069,pm_0160,0,129,0.0978,0.0115,3,True
0,70,0,vm_00070,pm_0391,0,265,0.0464,0.0582,1,True
0,71,0,vm_00071,pm_0625,0,74,0.1539,0.0107,3,True
0,72,0,vm_00072,pm_0138,0,89,0.0527,0.055,1,True
0,73,0,vm_00073,pm_0390,0,153,0.1209,0.0631,1,True
0,74,0,vm_00074,pm_0180,0,217,0.0654,0.0646,1,True
0,75,0,vm_00075,pm_0044,0,27,0.377,0.0133,2,True
0,76,0,vm_00076,pm_0402,0,129,0.0666,0.0669,1,True
0,77,0,vm_00077,pm_0637,0,65,0.1643,0.0157,3,True
0,78,0,vm_00078,pm_0644,0,143,0.3296,0.0125,2,True
0,79,0,vm_00079,pm_0774,0,276,0.1396,0.0116,3,True
0,80,0,vm_00080,pm_0029,0,102,0.0609,0.0467,1,True
0,81,0,vm_00081,pm_0380,0,36,0.1026,0.0156,3,True
0,82,0,vm_00082,pm_0081,0,248,0.101,0.0133,3,True
0,83,0,vm_00083,pm_0103,0,155,0.165,0.014,3,True
0,84,0,vm_00084,pm_0489,0,131,0.1214,0.0173,3,True
0,85,0,vm_00085,pm_0361,0,46,0.0342,0.0601,1,True
0,86,0,vm_00086,pm_0162,0,194,0.1551,0.0168,3,True
0,87,0,vm_00087,pm_0264,0,102,0.0585,0.0577,1,True
0,88,0,vm_00088,pm_0648,0,170,0.1301,0.0089,3,True
0,89,0,vm_00089,pm_0477,0,88,0.0433,0.0669,1,True
0,90,0,vm_00090,pm_0672,0,245,0.0328,0.0497,1,True
0,91,0,vm_00091,pm_0534,0,57,0.3851,0.0162,2,True
0,92,0,vm_00092,pm_0762,0,104,0.6609,0.0175,2,True
0,93,0,vm_00093,pm_0653,0,179,0.5302,0.0161,2,True
0,94,0,vm_00094,pm_0378,0,68,0.0773,0.065,1,True
0,95,0,vm_00095,pm_0706,0,152,0.0654,0.0623,1,True
0,96,0,vm_00096,pm_0120,0,24,0.2613,0.0151,3,True
0,97,0,vm_00097,pm_0330,0,34,0.064,0.0675,1,True
0,98,0,vm_00098,pm_0008,0,14,0.1058,0.0124,3,True
0,99,0,vm_00099,pm_0567,0,105,0.0783,0.0719,1,True
0,100,0,vm_00100,pm_0628,0,217,0.0979,0.0667,1,True
0,101,0,vm_00101,pm_0475,0,73,0.0622,0.053,1,True
0,102,0,vm_00102,pm_0552,0,284,0.0878,0.0502,1,True
0,103,0,vm_00103,pm_0107,0,37,0.1371,0.0124,3,True
0,104,0,vm_00104,pm_0250,0,196,0.1359,0.0132,3,True
0,105,0,vm_00105,pm_0587,0,279,0.341,0.0104,2,True
0,106,0,vm_00106,pm_0100,0,274,0.3995,0.0182,2,True
0,107,0,vm_00107,pm_0529,0,173,0.0986,0.0495,1,True
0,108,0,vm_00108,pm_0084,0,43,0.0849,0.0674,1,True
0,109,0,vm_00109,pm_0427,0,153,0.3755,0.0153,2,True
