vm_id,job_id,task_index,start_time,end_time,total_end_time,duration,cpu_max,cpu_min,cpu_avg,cpu_std,cpu_p95,cpi,mai,mem_max,mem_min,mem_avg,mem_assigned,mem_page_cache,mem_canonical,priority,true_cluster,is_ml_set
vm_00001,1,0,0.0,300.0,5015.17,5015.17,0.13584,0.01953,0.06107,0.04154,0.11922,1.2612,0.0307,0.01838,0.01038,0.01338,0.02022,0.00268,0.01284,34,3,True
vm_00002,2,0,0.01,300.01,465.27,465.27,0.49813,0.20386,0.30195,0.09809,0.45889,1.1054,0.0084,0.01781,0.00581,0.00981,0.0187,0.0006,0.00961,223,2,True
vm_00003,3,0,0.01,300.01,882.73,882.72,0.0597,0.00555,0.02721,0.01805,0.05428,1.6258,0.0401,0.06025,0.02525,0.04025,0.06627,0.0099,0.03824,155,1,True
vm_00004,4,0,0.01,300.01,11347.55,11347.54,0.03711,0.001,0.01047,0.0148,0.03267,2.0199,0.0504,0.07216,0.03716,0.05216,0.07938,0.00746,0.04955,190,1,True
vm_00005,5,0,0.02,300.02,736.8,736.79,0.09557,0.02856,0.05536,0.02234,0.08887,2.1015,0.0236,0.05295,0.01795,0.03295,0.05824,0.01244,0.0313,183,1,True
vm_00006,6,0,0.02,300.02,487.44,487.42,0.06254,0.00836,0.03003,0.01806,0.05712,1.284,0.0551,0.07484,0.03984,0.05484,0.08233,0.00282,0.0521,236,1,True
vm_00007,7,0,0.03,300.03,7687.14,7687.11,0.06147,0.02769,0.0412,0.01126,0.05809,1.6324,0.0682,0.05381,0.01881,0.03381,0.05919,0.01394,0.03212,296,1,True
vm_00008,8,0,0.03,300.03,14108.46,14108.43,0.09024,0.002,0.01,0.04458,0.07241,1.9379,0.0461,0.02045,0.01245,0.01545,0.02249,0.00594,0.01483,57,3,True
vm_00009,9,0,0.03,300.03,700.46,700.43,0.16709,0.01677,0.07046,0.05369,0.14562,1.1162,0.012,0.01103,0.00303,0.00603,0.01213,0.00472,0.00579,38,3,True
vm_00010,10,0,0.04,300.04,14060.53,14060.49,0.05933,0.001,0.01606,0.02404,0.05212,1.3304,0.0561,0.05616,0.02116,0.03616,0.06178,0.01008,0.03435,240,1,True
vm_00011,11,0,0.04,300.04,3644.83,3644.79,0.04479,0.00173,0.01896,0.01435,0.04049,2.1741,0.0245,0.04673,0.01173,0.02673,0.0514,0.01305,0.02539,24,1,True
